"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3,231754583E1;3,159722328E0;9,571290612E-1;-6,379863262E0
3,241754583E1;3,583850145E0;-1,045663452E1;-8,626125336E0
3,251754583E1;2,692523718E0;-1,156750298E1;-5,595017433E0
3,261754583E1;4,418945312E0;-1,193599796E1;-8,345566750E0
3,271754583E1;4,425525665E0;-8,728418350E0;-7,229315281E0
3,281754583E1;6,016752720E0;-1,056909752E1;-6,638288021E0
3,291754583E1;1,930409670E0;-6,543173313E0;-2,564507723E0
3,301754583E1;1,677368641E0;-3,693919897E0;-5,632704735E0
3,311754583E1;-2,641676188E0;3,150749207E0;-3,011367321E0
3,321754583E1;3,094517946E0;-7,237092018E0;-8,570492744E0
3,331754583E1;2,191227436E0;-6,090332031E0;-6,241079807E0
3,341754583E1;6,226124287E0;-1,251506042E1;-7,085147858E0
3,351754583E1;2,469991207E0;-7,665407181E0;-4,883152962E0
3,361754583E1;3,372683525E0;-1,087777138E1;-3,172284603E0
3,371754583E1;4,400999069E0;-9,596415520E0;-5,453242779E0
3,381754583E1;1,110269666E0;-5,299503803E0;-5,352744102E0
3,391754583E1;3,075973511E0;-3,241078377E0;-6,908079147E0
3,401754583E1;3,401995659E0;1,402194023E0;-7,118049145E0
3,411754583E1;5,187639713E0;-8,163712502E0;-4,619942188E0
3,421754583E1;5,175675392E0;-1,231406307E1;-5,158327579E0
3,431754583E1;5,921638012E0;-9,479166985E0;-5,891727448E0
3,441754583E1;2,961716175E0;-1,015035343E1;-7,636693478E0
3,451754583E1;3,923630953E0;-1,126600742E1;-8,097909927E0
3,461754583E1;2,070389748E0;-3,675375462E0;-5,586044312E0
3,471754583E1;6,218945980E0;-6,476772785E0;-1,035254669E1
3,481754583E1;8,362914920E-1;-3,288336515E0;-3,018545866E0
3,491754583E1;4,313661098E0;-6,520441920E-2;-5,394020557E0
3,501754583E1;4,714458942E0;-2,195055771E1;-1,279980659E1
3,511754583E1;4,667798996E0;-9,346963882E0;-6,014359951E0
3,521754583E1;3,613760471E0;-7,828717709E0;-6,108876228E0
3,531754583E1;5,309673309E0;-1,089631653E1;-7,486543655E0
3,541754583E1;4,451248169E0;-5,263611794E0;-5,035097122E0
3,551754583E1;3,780659735E-1;-2,863610506E0;-5,647659779E0
3,561754583E1;7,334001660E-1;-1,304088354E0;-2,352144718E0
